number,description,gauge,set,image
2245C,"locomotive, F3, B unit, dummy, Texas Special",0-27,1517W,
2245P,"locomotive, F3, A unit, powered, Texas Special, single motor",0-27,1517W,
224C,"locomotive, B unit, Alco dummy, U.S. Navy",0-27,1633,
224P,"locomotive, A unit, Alco powered, U.S. Navy",0-27,1633,
229C,"locomotive, B unit, Alco dummy, M & SL",0-27,11288,
229P,"locomotive, A unit, Alco powered, M & SL",0-27,11288,
2333P,"locomotive, F3, pwr A unit, SF or NYC, two motors",O,2133W,
2333T,"locomotive, F3 dummy A unit, SF or NYC",O,2133W,
233T,"tender, non-whistling, Lionel Lines",,,#N/A
233W,"tender, whistling, Lionel Lines",,1646,233W_web.jpg
2340-25,"locomotive, GG1, Pennsylvania, green, two motors",O,2253W,
2343C,"locomotive, F3 dummy B unit, SF",O,2191W,
2343P,"locomotive, F3 power A unit, SF, two motors",O,2161W,
2343T,"locomotive, F3 dummy A unit, SF ",O,2161W,
2344C,"locomotive, F3, dummy B unit, NYC",O,2193W,
